Class,Roll,Name
9,212,"Addi Addia"
9,23,"Adelind Adeline"
9,88,"Ailee Aileen"
9,277,"Ailene Ailey"
9,177,"Aindrea Ainslee"
9,435,"Alanna Alayne"
9,271,"Alisa Alisha"
9,380,"Allina Allis"
9,265,"Allison Allissa"
9,438,"Althea Alvera"
9,319,"Alyson Alyss"
9,114,"Amalita Amalle"
9,405,"Amandie Amandy"
9,129,"Amara Amargo"
9,123,"Anastasia Anastasie"
9,247,"Andee Andeee"
9,283,"Ange Angel"
9,314,"Annabal Annabel"
9,180,"Annecorinne Anneliese"
9,206,"Antonia Antonie"
9,485,"Anya Appolonia"
9,343,"Ashlan Ashlee"
9,373,"Ashley Ashli"
9,459,"Ashlie Ashly"
9,37,"Asia Astra"
9,254,"Astrid Astrix"
9,134,"Athene Atlanta"
9,476,"Aura Aurea"
9,51,"Aurore Austin"
9,148,"Ayn Bab"
9,368,"Barby Bari"
9,115,"Belva Belvia"
9,206,"Bendite Benedetta"
9,488,"Bertie Bertina"
9,218,"Betsey Betsy"
9,374,"Bette-Ann Betteann"
9,108,"Betty Bettye"
9,119,"Beverly Bevvy"
9,26,"Bianca Bianka"
9,494,"Biddie Biddy"
9,90,"Bridgette Bridie"
9,494,"Brier Brietta"
9,74,"Bryna Brynn"
9,211,"Buffy Bunni"
9,91,"Cahra Cairistiona"
9,271,"Candis Candra"
9,141,"Carlotta Carly"
9,42,"Carma Carmel"
9,270,"Caro Carol"
9,85,"Carolyn Carolyne"
9,335,"Carolynn Caron"
9,1,"Cassandra Cassandre"
9,58,"Cele Celene"
9,338,"Charlotta Charlotte"
9,411,"Cherilyn Cherilynn"
9,140,"Cherin Cherise"
9,369,"Chris Chrissie"
9,267,"Christal Christalle"
9,455,"Christan Christean"
9,360,"Clarine Clarissa"
9,413,"Codee Codi"
9,334,"Cookie Cora"
9,172,"Cordi Cordie"
9,470,"Corliss Corly"
9,403,"Cosetta Cosette"
9,497,"Cristine Cristionna"
9,486,"Cybil Cybill"
9,25,"Danica Danice"
9,362,"Debora Deborah"
9,157,"Demetria Demetris"
9,295,"Diana Diandra"
9,296,"Doreen Dorelia"
9,124,"Drusi Drusie"
9,144,"Dulce Dulcea"
9,464,"Dusty Dyan"
9,473,"Eada Eadie"
9,298,"Eartha Easter"
9,108,"Edin Edita"
9,101,"Elizabet Elizabeth"
9,361,"Elyssa Em"
9,425,"Emelia Emelina"
9,136,"Emeline Emelita"
9,372,"Esmaria Esme"
9,141,"Etty Eudora"
9,379,"Evelyn Evey"
9,228,"Evonne Evvie"
9,414,"Felipa Felisha"
9,260,"Fifine Filia"
9,118,"Fina Fiona"
9,70,"Florrie Florry"
9,375,"Flossie Flossy"
9,233,"Francoise Francyne"
9,70,"Fredelia Frederica"
9,55,"Gates Gavra"
9,281,"Gaynor Gelya"
9,493,"Genny Genovera"
9,58,"Georgine Geralda"
9,243,"Giana Gianina"
9,175,"Ginny Giorgia"
9,303,"Goldy Grace"
9,401,"Griselda Grissel"
9,300,"Gwenny Gwenora"
9,429,"Harlene Harley"
9,434,"Helaine Helen"
9,14,"Hermione Herta"
9,74,"Ilise Ilka"
9,291,"Imogene Imojean"
9,291,"Ina Indira"
9,448,"Ingunna Inna"
9,108,"Janaye Jandy"
9,411,"Janine Janis"
9,151,"Jannelle Janot"
9,288,"Jaquelyn Jaquenetta"
9,127,"Jehanna Jelene"
9,261,"Jemie Jemima"
9,349,"Jenica Jeniece"
9,290,"Jere Jeri"
9,110,"Jessalyn Jessamine"
9,217,"Jessica Jessie"
9,264,"Jewelle Jill"
9,130,"Jillian Jillie"
9,36,"Joli Jolie"
9,471,"Josephina Josephine"
9,380,"Josie Josselyn"
9,193,"Justinn Jyoti"
9,251,"Kamilah Kamillah"
9,271,"Karia Karie"
9,407,"Karlee Karleen"
9,455,"Karlen Karlene"
9,370,"Karlie Karlotta"
9,65,"Karoly Karon"
9,468,"Kat Kata"
9,33,"Katalin Kate"
9,139,"Katina Katine"
9,150,"Katinka Katleen"
9,147,"Katrine Katrinka"
9,301,"Kellia Kellie"
9,62,"Keslie Kessia"
9,267,"Kettie Ketty"
9,27,"Konstance Konstanze"
9,85,"Kristina Kristine"
9,491,"Lanna Lanni"
