Class,Roll,Name
9,59,"Aaren Aarika"
9,28,"Abagael Abagail"
4,144,"Abbe Abbey"
6,60,"Abbi Abbie"
6,374,"Abby Abbye"
2,55,"Abigael Abigail"
10,74,"Abigale Abra"
6,113,"Ada Adah"
7,37,"Adaline Adan"
3,253,"Adara Adda"
2,212,"Addi Addia"
2,483,"Addie Addy"
2,461,"Adel Adela"
8,369,"Adelaida Adelaide"
4,15,"Adele Adelheid"
4,116,"Adelice Adelina"
3,354,"Adelind Adeline"
9,62,"Adella Adelle"
1,476,"Adena Adey"
1,444,"Adi Adiana"
10,258,"Adina Adora"
2,152,"Adore Adoree"
4,420,"Adorne Adrea"
8,449,"Adria Adriaens"
2,170,"Adrian Adriana"
2,53,"Adriane Adrianna"
7,273,"Adrianne Adriena"
5,413,"Adrienne Aeriel"
1,161,"Aeriela Aeriell"
5,454,"Afton Ag"
10,287,"Agace Agata"
2,248,"Agatha Agathe"
2,64,"Aggi Aggie"
2,193,"Aggy Agna"
8,282,"Agnella Agnes"
10,92,"Agnese Agnesse"
4,338,"Agneta Agnola"
9,223,"Agretha Aida"
1,7,"Aidan Aigneis"
9,268,"Aila Aile"
10,224,"Ailee Aileen"
7,410,"Ailene Ailey"
4,59,"Aili Ailina"
9,433,"Ailis Ailsun"
7,306,"Ailyn Aime"
4,245,"Aimee Aimil"
5,456,"Aindrea Ainslee"
1,288,"Ainsley Ainslie"
10,6,"Ajay Alaine"
7,262,"Alameda Alana"
4,467,"Alanah Alane"
6,178,"Alanna Alayne"
2,449,"Alberta Albertina"
7,264,"Albertine Albina"
2,423,"Alecia Aleda"
8,335,"Aleece Aleen"
6,203,"Alejandra Alejandrina"
1,346,"Alena Alene"
9,269,"Alessandra Aleta"
7,331,"Alethea Alex"
6,165,"Alexa Alexandra"
2,222,"Alexandrina Alexi"
9,420,"Alexia Alexina"
7,342,"Alexine Alexis"
6,340,"Alfi Alfie"
9,415,"Alfreda Alfy"
3,161,"Ali Alia"
9,314,"Alica Alice"
8,344,"Alicea Alicia"
8,415,"Alida Alidia"
10,461,"Alie Alika"
3,116,"Alikee Alina"
3,197,"Aline Alis"
8,276,"Alisa Alisha"
6,91,"Alison Alissa"
5,244,"Alisun Alix"
5,33,"Aliza Alla"
4,78,"Alleen Allegra"
10,326,"Allene Alli"
5,80,"Allianora Allie"
5,227,"Allina Allis"
7,323,"Allison Allissa"
9,439,"Allix Allsun"
4,495,"Allx Ally"
1,418,"Allyce Allyn"
8,104,"Allys Allyson"
9,362,"Alma Almeda"
9,392,"Almeria Almeta"
7,31,"Almira Almire"
4,376,"Aloise Aloisia"
9,125,"Aloysia Alta"
9,228,"Althea Alvera"
8,435,"Alverta Alvina"
2,313,"Alvinia Alvira"
2,77,"Alyce Alyda"
5,129,"Alys Alysa"
1,238,"Alyse Alysia"
6,41,"Alyson Alyss"
7,291,"Alyssa Amabel"
8,310,"Amabelle Amalea"
3,147,"Amalee Amaleta"
9,85,"Amalia Amalie"
9,483,"Amalita Amalle"
5,419,"Amanda Amandi"
4,347,"Amandie Amandy"
1,190,"Amara Amargo"
8,264,"Amata Amber"
10,480,"Amberly Ambur"
4,75,"Ame Amelia"
3,162,"Amelie Amelina"
10,387,"Ameline Amelita"
5,157,"Ami Amie"
9,92,"Amii Amil"
